concatParams;mean;std
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;20.082844;1231.845287
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;25.482183;1244.603710
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;22.389491;1261.765576
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;24.369815;1274.338018
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;26.658385;1286.110697
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;27.453211;1290.991031
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;24.694134;1303.686991
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-38.175838;1776.460983
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-30.904945;1471.194393
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;-40.552888;1364.158490
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;-11.426736;1353.915231
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;0.340760;1320.309695
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;8.144414;1285.037954
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;5.241232;1255.898189
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;13.875162;1249.171435
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;10.370860;1229.091273
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;7.924748;1222.001165
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;-1.764559;1220.740718
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;3.764508;1238.626729
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;12.808412;1256.118196
10_100_False_None_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;12.020897;1269.677672
